State,Total Recalls,Average Recalls per Year,2016 Recalls,2017 Recalls,2018 Recalls,2019 Recalls,2020 Recalls,2021 Recalls,2022 Recalls,2023 Recalls,2024 Recalls,2025 Recalls
"California",176,17.6,22,18,13,21,6,14,13,30,20,19
"New York",170,17,20,22,9,15,8,8,15,32,19,22
"Texas",160,16,17,20,17,17,8,6,14,24,18,19
"Pennsylvania",157,15.7,21,26,7,12,7,6,12,26,20,20
"Illinois",135,13.5,10,15,13,16,6,10,13,19,14,19
"Florida",131,13.1,13,18,7,16,3,3,14,21,17,19
"New Jersey",130,13,18,18,10,8,5,3,12,22,16,18
"Ohio",120,12,5,16,11,11,5,5,11,19,17,20
"Virginia",115,11.5,10,12,7,8,5,3,17,19,15,19
"Massachusetts",113,11.3,10,13,10,6,3,3,12,21,16,19
"Washington",112,11.2,9,11,13,6,4,5,11,18,16,19
"Maryland",110,11,13,12,9,7,3,3,12,17,16,18
"Georgia",110,11,10,7,4,17,2,2,17,19,13,19
"Indiana",106,10.6,8,11,8,7,3,8,12,17,13,19
"Wisconsin",105,10.5,4,8,4,7,7,7,14,21,13,20
"Michigan",104,10.4,3,10,6,12,3,4,11,21,14,20
"North Carolina",104,10.4,9,7,6,8,5,5,12,19,14,19
"Minnesota",100,10,6,3,6,8,6,9,11,19,13,19
"Connecticut",100,10,7,12,4,8,3,3,11,18,16,18
"Oregon",94,9.4,3,5,11,4,4,5,10,19,15,18
"Tennessee",91,9.1,7,7,7,3,2,4,12,17,13,19
"Arizona",89,8.9,5,8,4,4,2,5,11,16,17,17
"Utah",89,8.9,9,6,7,3,2,4,11,17,13,17
"Missouri",85,8.5,8,6,5,3,4,6,9,15,12,17
"Louisiana",83,8.3,7,3,7,5,2,2,9,17,13,18
"Kentucky",83,8.3,5,3,4,8,4,3,9,16,13,18
"Colorado",83,8.3,7,6,5,4,1,3,10,17,13,17
"Iowa",81,8.1,7,5,2,5,3,3,9,16,14,17
"Oklahoma",79,7.9,7,6,3,2,2,3,9,15,15,17
"Alabama",79,7.9,2,2,5,5,1,2,13,19,13,17
"South Carolina",79,7.9,4,5,4,4,2,2,12,16,13,17
"Rhode Island",79,7.9,2,6,2,3,2,3,11,18,15,17
"Nevada",78,7.8,3,4,2,2,2,6,10,18,14,17
"Maine",78,7.8,5,3,1,5,2,4,11,16,13,18
"Mississippi",75,7.5,4,2,3,5,2,2,10,15,13,19
"Arkansas",72,7.2,5,2,3,3,3,2,9,16,12,17
"Kansas",72,7.2,4,3,2,3,2,3,9,15,13,18
"Idaho",72,7.2,4,2,2,0,2,4,9,17,13,19
"West Virginia",71,7.1,2,4,2,4,2,2,10,15,13,17
"Delaware",71,7.1,1,8,0,2,1,2,10,15,14,18
"Vermont",71,7.1,3,2,2,3,2,3,10,16,13,17
"New Hampshire",70,7,3,3,0,3,2,3,10,16,13,17
"Puerto Rico",69,6.9,2,3,5,2,1,2,9,15,12,18
"Nebraska",69,6.9,3,1,3,1,2,4,9,15,13,18
"New Mexico",69,6.9,1,3,3,1,1,4,10,16,13,17
"South Dakota",66,6.6,1,3,2,1,3,3,9,15,12,17
"Hawaii",66,6.6,0,1,3,1,2,4,10,16,12,17
"Wyoming",63,6.3,1,3,0,1,1,3,9,15,13,17
"Alaska",63,6.3,2,1,0,0,1,3,10,16,13,17
"Montana",63,6.3,1,1,1,0,1,3,9,17,13,17
"North Dakota",60,6,1,2,0,0,1,2,9,16,12,17
"District of Columbia",60,6,0,1,0,0,3,2,9,15,12,18
"American Samoa",57,5.7,0,0,0,0,1,2,9,16,12,17
"Guam",57,5.7,0,0,1,0,1,2,9,15,12,17
